resultId,raceId,country,name,grandPrix,driverId,constructorId,number,grid,positionOrder,points,points,laps,time,fastestLapTime,fastestLapSpeed,statusId
1200,74,Italy,"Autodromo Enzo e Dino Ferrari","San Marino Grand Prix",30,6,1,13,2,8,8,62,0.215,01:21.9,216.946,1
1243,76,Monaco,"Circuit de Monaco","Monaco Grand Prix",30,6,1,8,7,2,2,78,37.223,01:15.8,158.54,1
1259,77,Germany,N�_rburgring,"European Grand Prix",30,6,1,10,5,4,4,59,50.445,01:31.5,202.537,1
1264,77,Germany,N�_rburgring,"European Grand Prix",18,16,3,13,10,0,0,59,+1:35.786,01:32.0,201.542,1
1276,78,Canada,"Circuit Gilles Villeneuve","Canadian Grand Prix",30,6,1,2,2,8,8,70,1.1,01:14.9,209.697,1
1295,79,USA,"Indianapolis Motor Speedway","United States Grand Prix",30,6,1,5,1,10,10,73,29:43.2,01:11.5,211.074,1
1317,80,France,"Circuit de Nevers Magny-Cours","French Grand Prix",30,6,1,3,3,6,6,70,+1:21.9,01:17.7,204.333,1
1339,81,UK,"Silverstone Circuit","British Grand Prix",18,16,3,2,5,4,4,60,40.3,01:22.0,225.721,1
1340,81,UK,"Silverstone Circuit","British Grand Prix",30,6,1,9,6,3,3,60,+1:15.3,01:21.7,226.6,1
1357,82,Germany,Hockenheimring,"German Grand Prix",18,16,3,2,3,6,6,67,24.422,01:15.8,217.111,1
1359,82,Germany,Hockenheimring,"German Grand Prix",30,6,1,5,5,4,4,67,51.69,01:16.1,216.381,1
1376,83,Hungary,Hungaroring,"Hungarian Grand Prix",30,6,1,1,2,8,8,70,35.581,01:21.5,193.573,1
1379,83,Hungary,Hungaroring,"Hungarian Grand Prix",18,16,3,8,5,4,4,70,58.832,01:22.4,191.388,1
1399,84,Turkey,"Istanbul Park","Turkish Grand Prix",18,16,3,13,5,4,4,58,39.304,01:25.8,223.998,1
1422,85,Italy,"Autodromo Nazionale di Monza","Italian Grand Prix",18,16,3,3,8,1,1,53,+1:03.635,01:23.2,250.776,1
1424,85,Italy,"Autodromo Nazionale di Monza","Italian Grand Prix",30,6,1,6,10,0,0,53,+1:36.070,01:23.6,249.507,1
1437,86,Belgium,"Circuit de Spa-Francorchamps","Belgian Grand Prix",18,16,3,8,3,6,6,44,32,01:53.3,221.61,1
1458,87,Brazil,"Aut�_dromo Jos̩ Carlos Pace","Brazilian Grand Prix",30,6,1,7,4,5,5,71,35.668,01:12.8,213.082,1
1479,88,Japan,"Suzuka Circuit","Japanese Grand Prix",18,16,3,2,5,4,4,53,29.507,01:32.8,225.383,1
1481,88,Japan,"Suzuka Circuit","Japanese Grand Prix",30,6,1,14,7,2,2,53,33.879,01:32.8,225.361,1
1502,89,China,"Shanghai International Circuit","Chinese Grand Prix",18,16,3,4,8,1,1,56,41.2,01:34.8,207.074,1
7554,1,Australia,"Albert Park Grand Prix Circuit","Australian Grand Prix",18,23,22,1,1,10,10,58,34:15.8,01:28.0,216.891,1
7559,1,Australia,"Albert Park Grand Prix Circuit","Australian Grand Prix",3,3,16,5,6,3,3,58,5.722,01:27.7,217.668,1
7574,2,Malaysia,"Sepang International Circuit","Malaysian Grand Prix",18,23,22,1,1,5,5,31,10:52.1,01:36.6,206.483,1
7580,2,Malaysia,"Sepang International Circuit","Malaysian Grand Prix",1,1,1,12,7,1,1,31,+1:00.733,01:39.1,201.276,1
7581,2,Malaysia,"Sepang International Circuit","Malaysian Grand Prix",3,3,16,4,8,1,1,31,+1:11.576,01:37.6,204.459,1
7594,3,China,"Shanghai International Circuit","Chinese Grand Prix",20,9,15,1,1,10,10,56,57:43.5,01:52.6,174.235,1
7596,3,China,"Shanghai International Circuit","Chinese Grand Prix",18,23,22,5,3,6,6,56,44.975,01:53.5,172.825,1
7599,3,China,"Shanghai International Circuit","Chinese Grand Prix",1,1,1,9,6,3,3,56,+1:11.866,01:54.7,171.138,1
7614,4,Bahrain,"Bahrain International Circuit","Bahrain Grand Prix",18,23,22,4,1,10,10,57,31:48.2,01:34.6,205.979,1
7615,4,Bahrain,"Bahrain International Circuit","Bahrain Grand Prix",20,9,15,3,2,8,8,57,7.187,01:34.8,205.614,1
7617,4,Bahrain,"Bahrain International Circuit","Bahrain Grand Prix",1,1,1,5,4,5,5,57,22.096,01:34.9,205.269,1
7622,4,Bahrain,"Bahrain International Circuit","Bahrain Grand Prix",3,3,16,9,9,0,0,57,58.198,01:35.8,203.339,1
7623,4,Bahrain,"Bahrain International Circuit","Bahrain Grand Prix",12,4,8,15,10,0,0,57,+1:05.149,01:35.4,204.138,1
7634,5,Spain,"Circuit de Barcelona-Catalunya","Spanish Grand Prix",18,23,22,1,1,10,10,66,37:19.2,01:22.9,202.149,1
7637,5,Spain,"Circuit de Barcelona-Catalunya","Spanish Grand Prix",20,9,15,2,4,5,5,66,18.941,01:23.1,201.684,1
7641,5,Spain,"Circuit de Barcelona-Catalunya","Spanish Grand Prix",3,3,16,9,8,1,1,66,+1:05.211,01:23.6,200.404,1
7654,6,Monaco,"Circuit de Monaco","Monaco Grand Prix",18,23,22,1,1,10,10,78,40:44.3,01:15.2,159.914,1
7659,6,Monaco,"Circuit de Monaco","Monaco Grand Prix",3,3,16,6,6,3,3,78,33.586,01:15.8,158.686,1
7674,7,Turkey,"Istanbul Park","Turkish Grand Prix",18,23,22,2,1,10,10,58,26:24.8,01:27.6,219.422,1
7676,7,Turkey,"Istanbul Park","Turkish Grand Prix",20,9,15,1,3,6,6,58,7.461,01:27.6,219.314,1
7678,7,Turkey,"Istanbul Park","Turkish Grand Prix",3,3,16,9,5,4,4,58,31.539,01:28.2,217.823,1
7686,7,Turkey,"Istanbul Park","Turkish Grand Prix",1,1,1,16,13,0,0,58,+1:20.454,01:28.6,216.986,1
7694,8,UK,"Silverstone Circuit","British Grand Prix",20,9,15,1,1,10,10,60,22:49.3,01:20.7,229.238,1
7698,8,UK,"Silverstone Circuit","British Grand Prix",3,3,16,7,5,4,4,60,45.915,01:21.1,228.336,1
7699,8,UK,"Silverstone Circuit","British Grand Prix",18,23,22,6,6,3,3,60,46.285,01:21.2,227.956,1
7715,9,Germany,N�_rburgring,"German Grand Prix",20,9,15,4,2,8,8,60,9.252,01:34.1,196.97,1
7717,9,Germany,N�_rburgring,"German Grand Prix",3,3,16,15,4,5,5,60,21.099,01:34.4,196.315,1
7718,9,Germany,N�_rburgring,"German Grand Prix",18,23,22,3,5,4,4,60,23.609,01:34.3,196.63,1
7726,9,Germany,N�_rburgring,"German Grand Prix",12,4,8,10,13,0,0,60,+1:08.328,01:34.9,195.337,1
7734,10,Hungary,Hungaroring,"Hungarian Grand Prix",1,1,1,4,1,10,10,70,38:23.9,01:22.5,191.219,1
7737,10,Hungary,Hungaroring,"Hungarian Grand Prix",3,3,16,5,4,5,5,70,26.967,01:22.5,191.245,1
7740,10,Hungary,Hungaroring,"Hungarian Grand Prix",18,23,22,8,7,2,2,70,55.088,01:22.7,190.694,1
7745,10,Hungary,Hungaroring,"Hungarian Grand Prix",12,4,8,14,12,0,0,70,+1:11.512,01:23.4,189.067,1
7755,11,Spain,"Valencia Street Circuit","European Grand Prix",1,1,1,1,2,8,8,57,2.358,01:39.1,196.943,1
7758,11,Spain,"Valencia Street Circuit","European Grand Prix",3,3,16,7,5,4,4,57,20.87,01:39.3,196.401,1
7760,11,Spain,"Valencia Street Circuit","European Grand Prix",18,23,22,5,7,2,2,57,34.913,01:38.9,197.305,1
7776,12,Belgium,"Circuit de Spa-Francorchamps","Belgian Grand Prix",20,9,15,8,3,6,6,44,3.875,01:47.3,235.07,1
7781,12,Belgium,"Circuit de Spa-Francorchamps","Belgian Grand Prix",3,3,16,10,8,1,1,44,36.208,01:47.8,233.973,1
7795,13,Italy,"Autodromo Nazionale di Monza","Italian Grand Prix",18,23,22,6,2,8,8,53,2.866,01:24.9,245.538,1
7801,13,Italy,"Autodromo Nazionale di Monza","Italian Grand Prix",20,9,15,9,8,1,1,53,+1:25.407,01:25.2,244.791,1
7814,14,Singapore,"Marina Bay Street Circuit","Singapore Grand Prix",1,1,1,1,1,10,10,61,56:06.3,01:48.3,168.561,1
7817,14,Singapore,"Marina Bay Street Circuit","Singapore Grand Prix",20,9,15,2,4,5,5,61,20.621,01:48.4,168.479,1
7818,14,Singapore,"Marina Bay Street Circuit","Singapore Grand Prix",18,23,22,11,5,4,4,61,30.015,01:48.4,168.524,1
7824,14,Singapore,"Marina Bay Street Circuit","Singapore Grand Prix",3,3,16,3,11,0,0,61,59.777,01:48.4,168.55,1
7834,15,Japan,"Suzuka Circuit","Japanese Grand Prix",20,9,15,1,1,10,10,53,28:20.4,01:32.6,225.826,1
7836,15,Japan,"Suzuka Circuit","Japanese Grand Prix",1,1,1,3,3,6,6,53,6.472,01:33.3,224.162,1
7838,15,Japan,"Suzuka Circuit","Japanese Grand Prix",3,3,16,7,5,4,4,53,8.793,01:33.6,223.358,1
7841,15,Japan,"Suzuka Circuit","Japanese Grand Prix",18,23,22,10,8,1,1,53,11.474,01:33.3,224.182,1
7856,16,Brazil,"Aut�_dromo Jos̩ Carlos Pace","Brazilian Grand Prix",1,1,1,17,3,6,6,71,18.944,01:14.3,208.654,1
7857,16,Brazil,"Aut�_dromo Jos̩ Carlos Pace","Brazilian Grand Prix",20,9,15,15,4,5,5,71,19.652,01:13.9,209.939,1
7858,16,Brazil,"Aut�_dromo Jos̩ Carlos Pace","Brazilian Grand Prix",18,23,22,14,5,4,4,71,29.005,01:14.4,208.631,1
16067,17,UAE,"Yas Marina Circuit","Abu Dhabi Grand Prix",20,9,15,2,1,10,10,55,34:03.4,01:40.3,199.387,1
16069,17,UAE,"Yas Marina Circuit","Abu Dhabi Grand Prix",18,23,22,5,3,6,6,55,18.467,01:40.6,198.668,1
16075,17,UAE,"Yas Marina Circuit","Abu Dhabi Grand Prix",3,3,16,9,9,0,0,55,45.941,01:41.0,197.97,1
